team,first_pick,side,bans,picks
Team Aster,True,The Radiant,"['Primal Beast', 'Visage', 'Drow Ranger', 'Broodmother', 'Tiny', 'Beastmaster', 'Brewmaster']","['Marci', 'Shadow Fiend', 'Death Prophet', 'Disruptor', 'Mars']"
Team Liquid,True,The Dire,"['Primal Beast', 'Sven', 'Sniper', 'Drow Ranger', 'Broodmother', 'Mars', 'Pangolier']","['Marci', 'Shadow Fiend', 'Crystal Maiden', 'Beastmaster', 'Ursa']"
Team Aster,True,The Radiant,"['Primal Beast', 'Sven', 'Sniper', 'Drow Ranger', 'Broodmother', 'Mars', 'Pangolier']","['Marci', 'Shadow Fiend', 'Crystal Maiden', 'Beastmaster', 'Ursa']"
OG,True,The Dire,"['Doom', 'Hoodwink', 'Ursa', 'Lifestealer', 'Tidehunter', 'Beastmaster', 'Enigma']","['Crystal Maiden', 'Ember Spirit', 'Oracle', 'Sand King', 'Morphling']"
Tundra Esports,True,The Radiant,"['Doom', 'Hoodwink', 'Ursa', 'Lifestealer', 'Tidehunter', 'Beastmaster', 'Enigma']","['Crystal Maiden', 'Ember Spirit', 'Oracle', 'Sand King', 'Morphling']"
OG,True,The Radiant,"['Pangolier', 'Templar Assassin', 'Monkey King', 'Sniper', 'Naga Siren', 'Viper', 'Razor']","['Mirana', 'Visage', 'Earthshaker', 'Spirit Breaker', 'Lifestealer']"
Tundra Esports,True,The Dire,"['Pangolier', 'Templar Assassin', 'Monkey King', 'Sniper', 'Naga Siren', 'Viper', 'Razor']","['Mirana', 'Visage', 'Earthshaker', 'Spirit Breaker', 'Lifestealer']"
Knights,True,The Radiant,"['Marci', 'Enigma', 'Naga Siren', 'Tidehunter', 'Lone Druid', 'Primal Beast', 'Beastmaster']","['Tiny', 'Ancient Apparition', 'Visage', 'Lycan', 'Brewmaster']"
Entity,True,The Dire,"['Marci', 'Enigma', 'Naga Siren', 'Tidehunter', 'Lone Druid', 'Primal Beast', 'Beastmaster']","['Tiny', 'Ancient Apparition', 'Visage', 'Lycan', 'Brewmaster']"
Fnatic,True,The Radiant,"['Enchantress', 'Broodmother', 'Beastmaster', 'Lycan', 'Bloodseeker', 'Brewmaster', 'Batrider']","['Undying', 'Sniper', 'Clockwerk', 'Templar Assassin', 'Visage']"
Gaimin Gladiators,True,The Dire,"['Enchantress', 'Broodmother', 'Beastmaster', 'Lycan', 'Bloodseeker', 'Brewmaster', 'Batrider']","['Undying', 'Sniper', 'Clockwerk', 'Templar Assassin', 'Visage']"
Team Spirit,True,The Dire,"['Doom', 'Primal Beast', 'Morphling', 'Dawnbreaker', 'Terrorblade', 'Magnus', 'Tidehunter']","['Marci', 'Shadow Fiend', 'Mars', 'Disruptor', 'Beastmaster']"
BOOM Esports,True,The Radiant,"['Doom', 'Primal Beast', 'Morphling', 'Dawnbreaker', 'Terrorblade', 'Magnus', 'Tidehunter']","['Marci', 'Shadow Fiend', 'Mars', 'Disruptor', 'Beastmaster']"
Ukumari,True,The Dire,"['Leshrac', 'Silencer', 'Visage', 'Naga Siren', 'Broodmother', 'Snapfire', 'Viper']","['Enigma', 'Shadow Fiend', 'Tusk', 'Ogre Magi', 'Ember Spirit']"
beastcoast,True,The Radiant,"['Leshrac', 'Silencer', 'Visage', 'Naga Siren', 'Broodmother', 'Snapfire', 'Viper']","['Enigma', 'Shadow Fiend', 'Tusk', 'Ogre Magi', 'Ember Spirit']"
PSG.LGD,True,The Radiant,"['Chen', 'Enchantress', 'Bloodseeker', 'Kunkka', 'Monkey King', 'Broodmother', 'Ember Spirit']","['Enigma', 'Pangolier', 'Tusk', 'Dazzle', 'Lone Druid']"
Team Secret,True,The Dire,"['Chen', 'Enchantress', 'Bloodseeker', 'Kunkka', 'Monkey King', 'Broodmother', 'Ember Spirit']","['Enigma', 'Pangolier', 'Tusk', 'Dazzle', 'Lone Druid']"
PSG.LGD,True,The Dire,"['Enigma', 'Primal Beast', 'Lifestealer', 'Lina', 'Ursa', 'Lycan', 'Broodmother']","['Marci', 'Leshrac', 'Disruptor', 'Nyx Assassin', 'Dawnbreaker']"
Team Secret,True,The Radiant,"['Enigma', 'Primal Beast', 'Lifestealer', 'Lina', 'Ursa', 'Lycan', 'Broodmother']","['Marci', 'Leshrac', 'Disruptor', 'Nyx Assassin', 'Dawnbreaker']"
Shopify Rebellion,True,The Dire,"['Primal Beast', 'Broodmother', 'Storm Spirit', 'Ember Spirit', 'Templar Assassin', 'Viper', 'Doom']","['Tiny', 'Zeus', 'Crystal Maiden', 'Pangolier', 'Bloodseeker']"
